"n_PORiskAdditionalFloodInfo_PK","n_PORiskMasterFK","n_POTermMasterFK","n_CreatedTransactionFK","s_CommunityNumber","s_CommunityName","s_PanelNumber","s_MapSuffix","s_FloodZone","s_FloodZoneGroup","S_CommunitySFHA","s_CountyName","s_GrandfatheringTypeCode","s_BaseElevation","s_GICommunityNo","s_GIPanelNo","s_GIMapSuffix","s_GIMapZone","s_PriorPolicyNo","s_PriorPolicyExpDt","s_PriorCommunityNumber","s_PriorPanelNumber","s_PriorMapSuffix","s_PriorFloodZone","d_PriorMapDate","s_PriorBaseElevation","s_PolicyTypeCode","s_PolicyWaitingPeriod","d_PropertyPurchaseDt","s_PolicyMeetPRP","d_FloodLoanClosingDt","s_PriorCompanyNAIC","d_PriorNBDate","s_isInsuredTenant","s_RentalProperty","s_CondoOwnership","s_CondoDescription","s_IsCoverageFor","s_ManufactureMobileHome","s_DtOfConstructionSource","d_DateOfConstruction","s_BuildingCourseConstruction","s_BuildingOverWater","s_IsFoudationPartInWater","s_BuildingFederalLand","s_Occupancy","s_InsuredResides","s_NoOfUnits","s_BuildingPurpose","s_AddExtCoverage","s_Foundation","s_NoOfFloors","s_IsInsuredNonProfitEnt","s_IsBuildingHouseWarship","s_BuildingType","s_BuildingUse","s_IsSmallBusinessEmp","s_IsAgriculturalStruct","s_BuildingDescription","s_CBRSorOPA","d_CBRSOPADate","s_SevereLossProperty","s_FloodProgramType","s_FloodConstructionType","s_isBuildingWallRoof","d_InitialFirmDate","s_DetachedGarage","s_AddExtOtherAttachedGarage","n_ReplacementCost","n_ReplacementCostRatio","s_OtherBuilding","s_ContentLocationTRRP","s_PersonalPropertyHousehold","s_PersonalPropertyHouseholdDescribe","s_WithCOC_OR_EC","s_ElevationDifference","s_ElevationDifferenceTRRP","s_ElevationCertificateType","s_ElevatedBldgFreeObstruction","s_SubstantialImprovement","s_PolicyAssignment","n_PercResidentialPurposes","s_IsTownRowCondo","s_ResidentialUnit","s_NonResidentialUnit","s_TotalSqFootage","s_NonResidSqFootage","s_FloorInBuild","s_MobileHomePark","d_MobileHomeParkDate","s_IsPolicyMortgage","s_BaseFloodElevation","d_CurrentFirmDate","s_IsPriorFIPPolicy","s_IsReqByLender","s_IsPriorNFIPLapsed","s_IsCommunitySuspension","d_SuspensionDate","d_ReinstatementDate","s_IsEffeWithIn180Days","s_NoOfElevator","s_BldgConstructionType","s_NoOfDetatchedStruct","s_IsBldgContainME","s_AllMachinaryElevated","s_UnitLocatedOnFloor","s_IsPropNewlyMapped","s_IsNewPurchase","s_IsBldgNRHP","d_SubstantialImprovmentDate","s_IsPreFirmSubsidyEligible","s_RiskRating20","s_IsAddInsureds","s_TableNo","metadata","n_CreatedUser","d_CreatedDate","n_UpdatedUser","d_UpdatedDate"
11,5,10,11,"060191",,"0000",E,AOB,"",,MERCED COUNTY,CONTINUOUSCOVERAGE,,"060191","0428",G,AE,,,,,,,,,SFIP,LOANNOWAIT,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1977-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,8000.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"167",,YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-08-16 12:00:00",1,"2023-12-01 21:40:35"
12,6,11,12,"060191",,"0000",E,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1959-02-03",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,ELEWATEDONCRAWLSPACE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,56000.0,110,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-05-24 12:00:00",1,"2023-12-01 21:40:35"
13,7,12,13,"065053",,"0002",F,AE,AE,,TEHAMA COUNTY,CONTINUOUSCOVERAGE,,"065053","0786",H,AE,,,,,,,,,SFIP,LENDER30,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1962-07-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,180000.0,139,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"268","2011-09-29",YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3B,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2016-11-23 12:00:00",1,"2023-12-01 21:40:35"
14,3,8,14,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,15000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2017-03-23 12:00:00",1,"2023-12-01 21:40:35"
15,8,13,15,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1996-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,154000.0,146,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2016-10-19 12:00:00",1,"2023-12-01 21:40:36"
16,9,14,16,"320001",,"0000",C,AHB,"",,INDEPENDENT CITY,NOGRANDFATHERING,,"320001","0000",C,AHB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",NAX,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,YES,12210.0,999,,,YES,,,"00030",PLUSTHREE,"","10",,"",0,NO,,,,,,,,,"9999","1989-03-16",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-02-01 12:00:00",1,"2023-12-01 21:40:36"
17,10,15,17,"320008",,"0000",F,A,A,,DOUGLAS COUNTY,CONTINUOUSCOVERAGE,,"320008","0265",G,X,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,BLDGPERMITDT,"1981-09-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,90000.0,162,,,YES,,,"00020",PLUSTWO,"3","10",,"",0,NO,,,,,,,,,"0",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3C,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-10-25 12:00:00",1,"2023-12-01 21:40:36"
18,11,16,18,"320018",,"8750",F,AO,AO,,NYE COUNTY,NOGRANDFATHERING,,"320018","8750",F,AO,,,,,,,,,SFIP,LOANNOWAIT,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-06-30",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,2600.0,999,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"1",,YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R2A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-08-08 12:00:00",1,"2023-12-01 21:40:36"
19,12,18,19,"060191",,"0005",D,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"060191","0005",D,AOB,,,,,,,,,SFIP,LOANNOWAIT,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,25000.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-05-31 12:00:00",1,"2023-12-01 21:40:36"
20,4,19,21,"065071",,"0687",E,AH,AH,,TULARE COUNTY,NOGRANDFATHERING,,"065071","0687",E,AH,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1995-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100NONRESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,8100.0,999,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"0","2009-06-16",YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2017-02-13 12:00:00",1,"2023-12-01 21:40:36"
21,5,17,20,"060191",,"0000",E,AOB,"",,MERCED COUNTY,CONTINUOUSCOVERAGE,,"060191","0428",G,AE,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1977-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,80000.0,147,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"167",,YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2017-08-21 12:00:00",1,"2023-12-01 21:40:36"
22,13,20,22,"320018",,"0000",C,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,LENDER30,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-06-06",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,203500.0,123,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-06-13 12:00:00",1,"2023-12-01 21:40:36"
23,7,12,23,"065053",,"0002",F,AE,AE,,TEHAMA COUNTY,CONTINUOUSCOVERAGE,,"065053","0786",H,AE,,,,,,,,,SFIP,LENDER30,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1962-07-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,18000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"268","2011-09-29",YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3B,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2017-03-03 12:00:00",1,"2023-12-01 21:40:36"
24,3,21,24,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,150000.0,167,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","1990-09-28",YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2017-03-01 12:00:00",1,"2023-12-01 21:40:36"
25,6,11,25,"060191",,"0000",E,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"060191","0000",E,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1959-02-03",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,ELEWATEDONCRAWLSPACE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,5600.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999",,NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2017-06-08 12:00:00",1,"2023-12-01 21:40:36"
